Name,Email,Sent Messages (Baseline),Received Messages (Baseline),Recipients in Sent Messages (Baseline),Bcc Recipients in Sent Messages (Baseline),Cc Recipients in Sent Messages (Baseline),Read Later (in hours) (Baseline),Days between Received and Read (Baseline),Replies to Messages (Baseline),Characters in Outgoing Messages (Baseline),Messages Outside Working Hours (Baseline),Received/Sent Ratio (Baseline),Bytes Received and Sent Ratio (Baseline),Unanswered Questions (Baseline),Sent Messages (Comparison),Received Messages (Comparison),Recipients in Sent Messages (Comparison),Bcc Recipients in Sent Messages (Comparison),Cc Recipients in Sent Messages (Comparison),Read Later (in hours) (Comparison),Days between Received and Read (Comparison),Replies to Messages (Comparison),Characters in Outgoing Messages (Comparison),Messages Outside Working Hours (Comparison),Received/Sent Ratio (Comparison),Bytes Received and Sent Ratio (Comparison),Unanswered Questions (Comparison),Probability of Leaving
Tara Vaughn,paul33@example.net,309,217,12,4,3,8,6,17,240,3,1.3393910458939398,1.4796642454513886,4,301,208,3,1,4,7,5,15,310,7,0.7500702116281888,0.9663724985994264,3,0
Christine Gross,elliottbrandon@example.net,281,237,13,1,1,0,1,3,306,3,1.3044672323682596,1.908253479880805,3,349,147,1,1,0,8,3,10,242,9,0.668252546319972,0.6505098280005548,3,0
Heather Taylor,brendamartin@example.net,349,186,6,2,1,8,3,18,314,7,1.8345059261182732,1.8205677788172567,2,346,191,8,1,4,2,5,16,146,7,1.116748199023928,1.5635674926657381,2,1
Wanda Harris,wrightthomas@example.org,262,184,11,1,0,6,5,24,311,7,1.468147309942288,1.2944932986681117,0,339,169,4,0,0,1,3,24,259,2,0.8226463227990288,1.3693027551655501,0,1
Melissa Saunders,thomashammond@example.com,321,184,5,4,4,6,6,14,255,9,1.49789190406134,1.7038600663098515,0,324,207,4,3,4,0,6,1,390,9,1.4286037082463467,0.5690615267492258,0,0
Daniel Moody,hmartin@example.net,316,187,7,3,0,7,3,24,318,4,1.362516739376042,1.143165932805231,4,257,218,8,4,0,9,2,6,348,8,1.3055210859872,1.9196684525681185,2,0
Meredith Warren,ijones@example.org,288,220,10,0,3,2,4,3,330,8,1.8632375155646548,1.1117406272972956,1,258,189,6,4,3,9,4,21,285,1,0.638932882022699,1.7154006432546816,2,1
Samuel Martin,denise25@example.org,266,235,12,4,2,4,3,6,227,7,1.281047211651905,1.3522484143553672,0,441,197,3,0,3,8,5,10,364,0,0.7367474689379673,1.4343196408864038,4,1
Nicholas Castaneda,ngutierrez@example.org,308,198,3,1,2,9,4,8,267,7,0.9405322041351758,1.3248053244171938,4,221,212,7,3,1,5,2,22,347,6,1.272788261035312,1.2277232841382997,3,1
Christopher Jimenez,meganmiller@example.com,325,212,6,0,0,1,3,15,306,2,1.5917662528449785,0.6378710105120102,1,310,240,5,2,0,3,3,15,296,3,1.7528027238909205,0.6293485137947202,3,0
Sally Gomez,zdavis@example.org,281,202,11,1,0,8,5,2,332,8,0.5922185085527534,0.6087538758631026,1,263,231,4,1,2,5,2,23,264,7,1.1972521070160245,1.0804969066082069,2,0
Angela Williams,edward95@example.org,334,199,9,0,4,7,2,15,298,9,1.2150972647798002,1.534043162780951,2,303,199,4,1,3,3,2,10,380,2,0.7798709686592664,1.1071042673648122,0,1
Garrett Schneider,mcintyretoni@example.net,276,193,2,1,4,7,1,22,315,3,1.6253717047000165,0.9759017945757156,0,315,228,9,1,4,4,3,19,329,9,1.7505897654711737,0.7845113471881959,1,1
Benjamin Parsons,amarquez@example.net,291,191,1,1,3,1,6,0,258,6,0.8276081406368894,1.729812073358425,3,299,187,8,4,4,3,4,15,325,7,0.7076668404400328,0.657759950521809,0,0
Teresa Miller,amandabartlett@example.org,304,239,3,2,4,2,3,22,309,1,1.2413205478692841,1.8990807715714708,3,291,180,3,3,4,8,2,25,349,0,0.627569521068088,1.8245410370068564,4,0
Jasmine Chapman,michael62@example.org,331,196,3,0,3,3,5,14,290,1,1.7738624257848032,1.7610173973875152,3,234,180,7,4,2,6,3,11,245,8,0.5655030825674183,1.3050183865186766,3,1
Jeffrey Freeman,dalehodge@example.net,303,194,6,2,4,9,5,20,357,6,1.3766810373542122,1.3429311140666265,2,325,203,1,4,0,7,5,3,209,6,1.5313175482909118,0.8389574791876472,3,0
Eric Simmons,brad75@example.com,354,237,4,3,2,3,5,22,286,7,1.288693733262837,1.5662053268109046,3,368,159,5,3,1,1,5,23,257,5,1.1378814417451244,0.6624171174907767,3,0
Courtney Parker,ericwalker@example.org,308,140,9,0,4,6,1,18,196,2,0.9737866336864396,1.3853002042852811,4,406,206,2,1,0,7,5,20,382,0,1.350025630841867,1.2752938410307015,3,1
Hector Bowers,qodonnell@example.com,309,212,12,2,2,4,6,10,321,9,0.8287572216465122,1.685219893861062,3,271,148,1,3,1,5,1,8,298,6,0.5065502862889038,0.9004696334507909,4,0
Stephanie Rodriguez,matthew18@example.com,213,185,14,3,0,7,2,3,222,5,1.4073671656391484,0.9461900407952883,0,323,207,12,0,4,2,6,23,229,2,1.7663191575214998,0.9205947927231515,3,1
Michael Smith,vlawrence@example.com,271,173,6,3,3,6,6,19,350,7,1.6327355610695629,0.7588595134022114,2,264,182,7,2,1,5,2,23,311,0,0.7796448056625467,0.6298467046469226,1,1
Danielle Armstrong,taylorkathy@example.com,274,202,1,4,1,4,1,28,293,2,1.4426188791816215,0.5072154581622532,2,310,215,7,3,0,2,3,6,311,4,1.1645138408787423,1.5948814689787802,3,1
Sarah Ellis,uhenry@example.net,315,225,11,3,0,5,5,21,242,9,1.9492449281896251,1.9232200468682723,1,254,167,3,1,4,5,3,11,281,0,0.5424983024381799,1.0974724547482695,0,0
Erica Curtis,nortonvanessa@example.net,338,168,9,0,3,3,3,15,330,5,0.7914528128677882,1.3649568323396557,2,318,183,3,3,2,4,3,21,256,6,1.2377569449258978,0.9917271927275755,3,0
Katherine Solis,reidkristy@example.org,302,229,12,2,1,5,2,23,298,8,1.9165770095838104,0.567175681723264,0,216,231,13,3,4,9,2,2,299,0,0.9129204305347685,0.9438835322478294,2,0
Robert Coleman,briley@example.com,388,191,10,4,4,1,4,8,327,2,1.0327281488424758,1.3175750325027258,4,264,224,10,2,2,7,6,15,300,5,0.5356191895605438,1.8555010827762832,4,0
Stephanie Kelly,vmartin@example.net,280,196,7,1,2,6,2,23,280,3,1.2528656134771254,1.2874945854192903,3,243,166,12,4,4,9,6,0,342,1,1.9190243095697692,1.9374404402604515,4,0
Carol Miller,clopez@example.com,328,257,3,3,4,9,5,4,350,2,1.622646176171774,1.7131313867205995,3,305,218,14,4,0,0,6,19,348,4,0.8135945171809631,1.8327438597421244,4,0
Kristen Park,chadcoleman@example.org,313,203,4,2,0,2,5,7,360,9,1.6182646297642305,1.5599624549944269,2,387,199,12,1,0,1,1,3,241,1,1.120550961314111,1.4736694559780068,2,1
Kelli Young,angela64@example.com,352,178,5,3,2,5,2,24,291,2,1.9719103169125103,0.7479934749974917,2,302,209,1,1,4,8,3,15,392,5,1.2645131462804113,0.7845581877082735,1,0
Ronald Rodriguez,chelsea48@example.com,325,205,1,0,0,9,6,6,312,8,1.0315622440188572,1.1479256058527016,3,268,159,3,2,0,1,3,17,275,4,1.8946059707492982,0.8126840388444899,1,1
Charles Sandoval,jenniferrivera@example.org,320,127,7,3,4,9,3,0,316,9,1.2312220444944528,1.7040280387601658,3,406,148,4,3,2,5,5,24,294,1,1.5212606537763163,1.5678644229469283,0,1
Kim Dudley,patricia50@example.net,216,165,2,4,0,4,4,18,353,1,1.6134064710173823,1.9323559056079787,4,315,249,14,0,3,4,4,1,260,9,0.8778419489470833,1.6419906482112758,4,1
Pamela Thompson,rojastimothy@example.com,244,158,11,4,0,4,1,19,273,7,0.8627893495554114,1.0813513506216441,4,313,224,13,1,1,4,6,15,270,0,1.604811611324898,1.8127922639732343,2,1
Teresa Hernandez PhD,williammendez@example.net,308,161,7,0,2,4,4,15,360,5,0.6702796110315963,1.5072138623020095,1,315,204,8,2,0,1,1,27,312,1,0.6986468626265064,1.9937930416489764,1,0
Michael Trujillo,ericsanchez@example.com,360,196,1,2,2,1,5,21,260,1,1.1523430339366447,0.609061588079302,1,307,238,13,1,4,4,1,13,388,8,1.5064869490255388,1.091040818090642,3,1
Mindy Perry,ronald39@example.net,373,194,12,3,4,6,3,8,237,1,0.9685002393979142,1.8431726737864158,3,252,193,7,0,2,7,2,13,324,3,1.2114731675274308,1.513073121609362,2,1
John Lee,shawn48@example.org,320,217,7,4,4,0,6,14,351,6,1.612289965334449,1.3123769491775727,3,324,190,13,1,0,4,5,11,353,6,0.5588314073416794,0.9314136128384223,2,1
Nathan Nelson,zstone@example.com,295,217,13,3,2,3,2,9,307,1,1.5144011761509961,1.3657437512756105,1,299,174,13,0,2,9,5,12,279,0,0.7172485789058504,1.5890230353871324,4,1
Jason Brown,hbell@example.com,338,197,12,2,4,4,1,25,334,5,0.6634934837863469,1.2380766779362098,1,344,200,8,1,1,4,2,22,302,6,1.7598738050536835,0.9087198378499886,2,0
Sara Mitchell,arielcarroll@example.com,299,149,7,4,3,0,2,20,388,2,1.04129338110303,1.629688355323947,1,265,182,7,3,4,4,3,7,363,8,1.884495667668994,1.0005938277120656,2,0
Michelle Beck,egriffith@example.net,348,191,13,3,0,0,6,26,370,4,0.6888663618978931,0.7527875961152478,4,299,183,5,2,1,7,5,13,265,1,1.2282615952905633,1.3059853491077944,4,0
Mr. Michael Smith DDS,william01@example.net,376,221,9,1,3,8,2,24,315,8,1.124209896694295,1.8048118500103456,2,289,211,14,1,3,6,3,5,257,9,1.0656086780173097,1.2463012088333176,4,0
Jamie Barnes,lawrencegriffin@example.net,302,272,6,2,1,9,2,22,224,2,1.2830018693682965,0.534199232946245,3,378,146,5,1,2,0,2,13,310,3,0.9252120826055112,1.243188894525399,1,1
Aaron Wilson,christopherjohnson@example.net,312,188,4,0,2,6,1,26,269,0,1.627902391334147,1.2439305307644857,2,241,211,5,1,1,5,4,20,316,1,1.8993848123814696,1.1266855432179959,2,1
Kathryn Fry,chaneyjoshua@example.org,282,192,14,1,0,0,2,16,280,1,0.7469132352307518,1.2730926278856542,3,324,233,7,0,4,6,1,8,328,4,1.2660175553276312,1.0456020958811136,4,0
Matthew Burke,delacruzlisa@example.org,369,219,4,4,0,4,4,21,234,5,1.7653064365513988,0.5863326390073715,0,245,221,4,3,1,8,6,7,232,6,1.5897842828360274,0.7588524703217113,3,0
Sara Andrews,ebrennan@example.org,387,197,5,2,0,9,6,29,331,7,0.761788801130078,1.1231647626466625,2,357,214,8,0,4,1,5,12,311,0,0.7138307503920962,0.7125051001045033,0,1
Lisa Barker,denisereid@example.org,222,209,11,4,3,9,4,19,325,4,0.92399914744007,0.6953994856153631,1,271,154,2,0,0,5,1,27,255,6,1.6491322362507628,0.962222595638051,4,0
Charles Torres,rvilla@example.com,328,188,2,4,2,3,1,20,341,3,0.8210668106545032,0.6487944289200407,2,309,258,9,1,1,2,5,27,270,4,1.2619283249186364,0.9285226818453609,4,1
Wendy Sims,probinson@example.net,301,175,8,1,0,0,4,14,289,2,1.1013252742450015,1.0117694862419357,0,284,220,14,2,2,4,4,26,282,5,1.1569674501286538,0.5014508713462551,0,0
Anna Cummings,rparker@example.net,370,217,7,4,3,8,6,15,217,4,0.5909383821045227,0.7396500115923779,3,256,197,5,1,3,7,3,17,325,0,1.1354798809804005,0.738976041205355,3,0
Patricia Armstrong,gilesdavid@example.com,260,194,13,0,3,6,5,16,276,9,1.9852998938864541,0.7611319427685411,3,365,238,11,2,4,9,2,23,336,1,1.9278884994902572,1.8788143585938832,1,0
Jason Guzman,harrisdonald@example.com,256,224,2,4,0,7,2,16,282,6,1.7261850992929706,1.217783790145571,4,313,183,13,3,2,0,2,20,345,8,1.6447023014617372,1.239545111800417,0,1
Christina Brown,aliciastafford@example.org,217,194,3,1,4,1,6,0,300,8,1.0180412214828698,1.026452350344657,0,267,260,5,1,2,3,5,1,262,8,1.735838966630772,1.9863408916847294,2,1
Jonathan Miller,hshaw@example.org,344,166,1,4,4,2,2,1,208,4,1.9072553348358794,0.7241117853786074,3,264,165,8,3,4,2,6,17,349,3,1.102192914444898,1.8002377376769645,2,0
Mark Gonzales,oliviarichards@example.com,239,179,12,3,3,0,2,15,243,3,1.2991506292439363,1.0398349688935034,2,318,190,7,3,3,7,6,17,309,4,1.009280508633009,1.9610913814047612,0,0
Manuel Rogers,gmendoza@example.org,290,198,11,1,3,7,4,0,305,0,0.8313304378377206,0.593345348425844,2,397,162,8,3,2,9,1,1,256,8,1.9242306571810512,1.619059953874963,2,1
Brett Warren,sanchezkeith@example.com,291,215,12,4,1,7,4,13,291,8,1.5718352166477794,1.4395010301518423,2,341,223,14,1,0,2,6,10,363,8,1.1375586150607513,0.5225972170569189,0,0
Michael Macias,pwilliams@example.org,272,202,7,0,4,3,2,17,196,7,1.7124457293363509,0.5212125153204323,1,360,263,2,2,2,3,6,29,373,6,1.8050643748427775,1.1623474923518031,0,0
Peter Hughes,heather94@example.com,291,204,11,4,2,6,1,29,171,1,1.8707629163260588,1.9298841009219465,4,345,209,10,1,2,9,1,25,336,7,1.2595028134010335,1.1231399001130107,2,1
Richard Chapman,scottfrederick@example.net,224,187,5,4,2,8,4,14,369,9,1.7483055820304412,1.7146522125147374,3,316,203,3,0,1,1,2,1,269,1,0.6861017356307002,0.5855330105565658,4,0
Tony King,bridget75@example.com,341,220,7,2,0,7,1,4,241,0,0.6582906299386907,1.1028748057268856,2,327,179,2,4,3,6,5,27,271,0,0.902427424274484,1.3881334547913458,0,1
Kathleen Herrera,beckjulie@example.net,382,212,14,3,0,8,4,18,310,8,1.7119629283497253,1.3717209939737216,0,366,182,5,2,3,0,1,21,318,2,1.271846843934692,1.3329855888658835,3,0
Jennifer Bowman,angelathompson@example.net,368,203,7,3,0,1,4,24,258,1,1.9111425317872643,1.1428883445443212,1,273,214,7,4,2,8,1,21,300,0,1.346768766963128,0.5373300368859834,1,0
John Cooper,robertaguirre@example.com,316,201,11,0,1,9,5,9,323,8,0.746228222417388,1.620716324987603,2,378,269,7,3,3,5,1,18,330,1,0.7924387490643947,0.5965978465698509,0,1
Alice Hall,amanda53@example.com,327,220,2,0,2,8,5,0,286,9,0.6653065069758197,1.8721781588357622,2,339,225,7,3,1,4,2,22,335,8,1.2306623422363763,1.1390715606393542,2,0
Steven Gomez,benjaminhoover@example.org,324,230,10,0,1,4,1,5,324,2,1.548563360042341,1.801161188225811,3,313,180,3,2,3,5,2,24,347,5,0.5805302383087825,1.9362593083999786,0,0
Laura Obrien,jacob78@example.org,398,160,4,2,2,2,2,6,339,3,0.989563345171803,1.3083424253649478,4,302,222,2,2,4,1,4,5,230,1,0.6405576959718996,1.0517725234871524,2,0
Jeanette Caldwell,erin52@example.net,347,193,4,2,2,7,5,1,325,6,1.893143790793009,0.9673235100473001,4,299,210,1,0,3,8,1,16,308,5,1.9037739196081234,1.2182738575029108,1,1
Deborah Higgins,forbesjeff@example.net,325,163,10,3,2,4,4,19,258,0,1.7958747222182456,0.8449099919356079,3,303,171,3,4,1,5,1,5,285,4,0.6891859046713185,0.8527417110640348,0,1
Billy Andrews,samuel46@example.com,282,241,5,0,2,2,1,27,280,7,1.0148243031299522,0.5232734338889231,0,349,196,12,1,3,4,4,4,336,7,0.7604012594515259,0.9818011602984713,4,0
Lisa Young,moorebrent@example.org,267,171,13,0,1,3,2,11,208,8,0.7887248769556832,0.6137440961893158,4,325,220,4,3,1,3,1,11,348,7,1.8138523000650077,1.8600625066310708,3,1
Daniel Carrillo,andrea89@example.net,267,184,3,1,3,7,5,25,344,2,0.794921863859466,1.856053451153933,0,369,167,9,2,4,6,5,10,306,3,0.618150746047869,1.8456852394388994,0,0
Laurie Mendoza,gabrielsanchez@example.org,344,182,5,0,0,8,3,23,264,3,1.6012593846967618,0.5260453171923583,0,330,238,11,2,3,6,4,25,343,1,1.0387441956252657,1.5298232118103063,1,1
Patricia Armstrong,alexandria34@example.net,261,181,13,0,2,1,4,26,336,9,1.281126065486231,0.9562110182487173,0,275,157,8,2,3,4,3,11,312,6,1.8195993890235527,1.5760917359557873,1,0
Kelly Davis,matthewkelley@example.net,274,167,8,0,0,0,5,12,213,5,0.5611580856492228,1.0914902182650938,3,275,209,4,1,0,5,2,18,227,4,1.9214872071145057,1.0229148143305702,1,0
Andrew Compton,riverakerry@example.net,269,200,14,3,1,6,3,6,251,2,0.8014813529559776,0.5568766817961126,3,372,232,7,1,2,3,6,0,307,5,1.783065342873162,1.8823014177378883,4,1
Amy Bush,meganashley@example.org,305,229,11,4,0,7,3,24,323,5,0.6202475789844306,1.3351708378610365,4,286,215,12,2,4,8,4,0,234,0,1.7130975209051142,1.1804818397609342,2,1
Melinda Brooks,kochchristine@example.org,246,152,11,1,1,3,1,21,310,6,1.5020830882389062,0.6927771448904851,3,263,214,13,0,0,5,4,8,332,3,0.7831002271856761,1.89039081130946,1,1
Joshua Mendoza,brendathompson@example.org,278,216,8,1,2,9,1,18,271,7,1.6818348921502246,0.7330875345226178,0,301,249,9,0,0,3,4,7,342,9,1.4085115835194324,1.8411413297284078,1,1
William Gillespie,eric36@example.com,371,214,8,4,2,7,6,28,218,2,0.7824643816662964,0.5405321883466567,0,228,198,5,0,0,7,4,22,308,0,1.2217732279229214,1.0461933705184645,3,0
Michael Burgess,timothy49@example.org,301,247,11,3,1,3,3,5,299,3,0.7474773350203856,0.5516697610310285,1,316,177,14,1,0,1,5,0,339,3,0.5181367216311945,1.0002605095800716,1,0
Mark Martinez,christopherthomas@example.net,319,183,8,3,0,6,3,7,379,2,0.6595377697931518,1.5347142782902257,4,271,213,3,4,3,1,5,28,274,8,1.9786190227560851,0.9942580861576913,0,0
Deborah Summers,phillipspatricia@example.org,384,183,5,0,4,9,6,4,344,9,1.92633639271436,1.8264042112441143,4,256,204,14,3,4,3,4,29,241,7,1.2911319774542735,1.1000712070047594,1,1
Susan Thomas,anthonytaylor@example.net,322,231,13,4,2,1,4,7,331,4,0.8948592898909205,0.5957525134749613,4,334,205,3,3,4,9,3,5,266,5,1.2100826298626088,1.785624709763664,3,0
Jamie White,feliciafletcher@example.net,268,172,3,3,1,7,3,11,390,7,1.6583085386176857,1.7057273819228165,0,304,189,14,2,3,5,4,2,265,6,1.1614657838666114,1.5733629385317713,4,1
Debra Monroe,courtney04@example.org,306,202,5,2,4,6,4,16,283,8,1.885119772284344,1.6525326452480684,2,243,182,7,0,1,1,3,14,307,6,1.6689496746317878,1.646664588875995,2,1
Shawn Mayer,joshuadiaz@example.net,313,159,2,2,1,2,6,27,343,7,1.7363474709859763,1.0440128789899885,1,383,146,6,0,3,7,2,1,348,1,0.8366774924637348,1.0408974733054142,2,1
Grace Cortez,joseph98@example.com,318,242,14,4,0,3,3,0,259,0,1.9165510347597632,1.4952599088629515,1,203,221,3,2,3,1,3,14,284,8,1.3153227560563616,1.1011881747387693,0,1
Stephen Schneider,warrengrace@example.com,261,237,10,0,3,4,6,2,340,0,1.0195660594515434,0.5214406991747604,4,181,166,8,2,0,7,1,1,325,5,1.1961384511840156,1.0104408686795143,3,0
Christopher Valdez,kristin72@example.net,318,230,1,1,3,1,2,10,313,6,1.067493634767434,1.9234205381490177,1,293,192,13,1,2,7,6,0,222,1,1.9755120360088179,0.642608613710249,2,0
Ann Leonard,millerchelsea@example.net,249,237,1,0,1,4,2,19,361,2,1.0739861759832352,1.3716461122630377,1,251,222,1,1,0,9,3,13,346,3,0.680781996836278,1.9386802111287047,3,1
Edward Cummings,amoss@example.net,191,170,3,4,0,3,2,22,351,7,1.1367314943121438,0.6874755869082683,4,293,223,2,4,3,0,5,17,266,1,0.5391482964854106,1.0265647737144712,4,1
Patrick Johnson,booneglenn@example.com,299,194,1,4,4,0,5,19,330,5,1.7283274665210833,1.0291531857152227,0,331,227,11,1,1,2,2,5,340,2,1.6355877384981479,1.9579588324310364,3,0
Tonya Davis,christina48@example.com,200,216,11,3,3,9,5,7,360,7,1.0163445893692764,0.6973914495459939,0,293,182,6,2,1,4,4,3,240,1,1.0854490803370165,0.865862032188234,4,1
Tyler Riley,troy04@example.org,277,180,8,0,3,8,4,15,294,0,1.3899135511076826,1.9935666666197431,1,383,195,9,4,0,9,5,11,345,1,1.2530519058643952,1.8118563488709705,2,0
Kimberly Myers,cartertodd@example.net,279,218,3,4,1,3,3,25,321,9,1.3600854672460791,0.6329171659190098,1,203,251,14,2,4,1,5,2,260,2,0.9709930042801189,1.3496013106306561,0,0
Dustin Waters,alewis@example.org,352,171,3,4,2,1,5,12,369,6,1.7897428228758079,1.4662037962973054,1,316,179,9,0,3,6,5,28,300,6,0.955292249408696,1.4586051803945255,1,1
Joseph Smith,johnmoore@example.net,282,151,1,1,3,7,2,27,299,2,0.9320884353847536,1.696300916584122,0,298,149,14,1,2,6,6,26,283,1,1.2404945114419133,0.6233804595306565,4,0
Denise Stout,shelly26@example.net,231,229,14,2,1,7,4,3,229,9,1.2800408679698903,0.9143422466378421,4,265,202,12,4,3,3,5,10,347,4,1.4137206515902194,1.8731171838836491,0,0
Pamela Gomez,heatherfoster@example.org,276,193,4,4,4,0,6,20,243,5,1.339043662110198,1.0758309904403194,3,295,160,11,2,4,9,6,3,373,8,1.4640356049992949,1.0944249633808951,1,0
Kerry Kennedy,patrickgary@example.org,281,203,11,4,2,0,2,9,313,0,0.9721828568797822,1.6708399283445292,1,307,227,14,3,4,9,6,10,347,1,1.4565139170901156,1.080884012532621,2,1
John Miller MD,clarencelowe@example.org,285,198,1,4,4,3,3,0,311,3,1.3168331730122076,0.7338232847111283,1,369,183,3,0,2,3,3,28,335,9,0.7493552703278773,1.5687560738356137,0,0
Christina Evans,andreagray@example.net,282,148,1,3,4,5,1,3,253,4,0.7176600805749178,0.7959526497229834,2,294,185,14,2,1,5,4,10,337,3,1.9685199323650577,0.5217557006414092,2,0
Amber Thornton,hunterortega@example.org,316,213,5,2,1,0,5,16,278,7,1.2113817363224584,1.7873794741221871,4,353,193,8,1,4,9,1,16,297,4,0.7438501653112425,0.9557613506906432,0,0
Brian Campbell,cwilliams@example.net,287,188,4,2,3,2,3,24,263,1,1.097344947013657,0.6496186856778114,0,355,193,11,4,3,7,5,20,411,1,0.8791704917631169,1.5325398980068234,4,1
Edwin Weber,jillterry@example.net,284,200,6,3,0,8,2,3,280,4,1.4900275682043254,0.6297605685844087,0,424,209,1,2,0,2,6,3,326,2,1.7569354371807007,1.3085117048823718,1,1
Brian Carter,francojacob@example.com,370,199,1,4,1,7,4,6,338,2,1.9802892427146939,1.9295840970503615,0,328,141,8,0,4,6,3,24,309,0,1.8007569662370428,1.9232868286201468,2,0
Rickey Morris,brittany76@example.com,336,166,5,4,4,7,6,0,280,4,0.5639910550229625,1.7447216474836669,2,283,219,7,4,1,5,3,18,294,1,0.9631304979601603,0.8353753276592044,4,1
Jonathan Wallace,timothy86@example.org,292,192,8,1,0,5,2,21,327,5,0.8641441026271284,0.5310803723978796,4,355,247,4,3,2,7,2,24,327,2,0.6930100134702494,0.9599003052921806,1,0
Cynthia Mendez,jacobingram@example.org,376,178,10,0,1,9,3,27,338,4,0.8800572790477117,0.6477707986276167,3,331,191,10,3,2,4,3,21,282,7,0.9883243421941462,1.8136261230679538,2,0
Michelle Villa,andersonzachary@example.net,302,241,2,0,1,7,4,1,321,5,0.6384662903277143,0.5750519229783522,2,280,166,4,3,1,3,1,3,279,5,1.0101242253677536,1.8999991810355465,0,0
Anthony Bowen,perezjustin@example.net,321,171,10,3,2,8,2,9,251,1,0.7084195925812747,0.5399403490731165,1,326,229,13,1,0,5,4,3,247,3,1.8930895874283187,0.9744896817982445,3,1
Elizabeth Chang,shannonbest@example.net,411,223,6,1,0,5,3,19,301,1,0.56357437184882,1.2778089763341147,0,321,240,3,3,1,7,1,3,399,6,1.520336884092921,1.9317789259787812,0,1
Richard Maxwell,cooperjerry@example.net,357,198,5,4,2,4,3,21,269,2,0.8189291501892342,0.5284597359314392,0,273,229,12,0,1,6,1,4,301,9,1.3494924412864218,1.2013927114953287,4,0
Sandra Munoz,ycooper@example.org,334,188,3,1,1,9,3,9,289,2,0.6451353497098763,1.2898726352276684,2,251,212,11,4,3,3,1,29,322,2,1.3628117122401748,1.3257979959526163,2,1
Thomas Brown,bushcolleen@example.org,268,207,10,1,4,6,3,7,236,3,0.8192111764700272,0.709054654442449,1,336,175,11,2,4,1,6,3,230,7,1.4336498180899773,1.2144324429889728,4,0
Steven Williams,crystalhoward@example.org,336,205,12,1,1,1,5,7,367,4,1.3725872335845195,0.6290229577063441,4,299,242,4,0,0,2,6,5,277,7,1.9570198770224203,1.6344116019321553,1,1
Michael Moore,ryan17@example.org,286,212,4,4,3,3,6,8,304,0,1.1495458241825287,1.1886758412752685,0,361,147,9,1,3,4,2,25,336,6,1.6102648181557098,1.6741945366876414,3,1
Katherine Scott,rwallace@example.org,254,233,7,4,1,9,2,26,308,0,1.5876205252142368,1.9678103361033772,3,259,213,11,2,2,3,3,8,300,9,1.1014813851871064,0.504873780295339,1,1
Nicholas Sanders,katie16@example.org,316,212,4,0,2,7,3,29,339,8,0.70927693267986,1.3871316128330398,3,319,147,13,0,3,1,4,25,329,1,1.0893315736236573,1.7122942602139248,3,1
Robert Fisher,ahorton@example.org,177,211,11,4,3,3,3,8,234,3,0.5841728328640701,1.9357800939354162,2,277,201,1,0,4,9,3,26,238,7,1.542102958509,1.4695579604553861,1,0
Jasmine Garcia,elizabethsheppard@example.com,381,239,11,1,3,0,2,14,287,9,1.706998440795481,1.8505834134045311,3,349,162,3,2,2,8,2,28,304,4,1.7151498739760687,0.600400700637799,2,1
Brenda Taylor,jessicagray@example.net,257,191,11,4,1,5,4,3,193,9,1.3204778523119032,1.1912250284434667,3,275,231,11,2,4,4,6,13,382,4,1.2260424925207312,1.1734922697242443,2,1
